11	14	1	0	13	2	4	15	9	2	3	2	39	16	11	2	1
12	18	1	40	9	7	10	6	81	3	0	15	36	5	16	4	9
0	7	43	1	5	39	30	25	4	25	0	14	11	14	42	1	0
28	25	19	13	10	9	30	2	0	2	6	20	8	27	9	2	5
1	8	10	16	15	6	3	1	2	6	10	2	24	3	58	14	3
8	2	6	5	14	1	23	2	16	0	10	5	5	4	19	2	24
9	6	3	1	1	1	13	8	89	12	10	72	3	21	31	4	8
16	14	9	11	8	2	0	5	0	13	1	17	15	6	2	30	13
3	9	3	14	1	15	7	0	14	0	13	12	15	0	12	3	4
1	13	3	32	21	6	26	2	2	28	7	4	21	3	0	6	16
15	22	6	7	0	6	3	13	7	6	7	3	26	6	50	14	24
10	15	6	2	13	17	7	1	32	4	28	10	35	25	39	10	4
36	3	3	11	32	0	61	48	4	31	1	8	1	15	15	8	7
32	5	2	4	0	1	6	62	2	3	2	44	2	21	0	36	23
0	5	1	2	4	2	0	2	3	47	39	0	3	11	4	1	14
