zt0chic	zt6chic	zt12chic	zt18chic
chr9_14304123_14312638	11	10	12	9
chr9_51769891_51773401	11	13	15	15
chr9_103265241_103268492	1	0	1	2
chr9_106181232_106184045	27	25	36	35
chr1_24682503_24737692	15	21	16	15
chr1_31004131_31007297	99	103	101	97
chr1_36124594_36127799	8	13	14	17
chr1_36425417_36426445	9	13	14	11
chr1_51533600_51536034	19	21	16	15
chr1_55108354_55114363	0	1	0	1
chr1_74282792_74283169	2	1	2	5
chr1_89748848_89749987	3	3	4	4
chr1_99556805_99559956	18	25	24	15
chr1_129760517_129771426	2	2	3	2
chr1_132624639_132627971	20	18	33	20
chr1_132627972_132628655	1	2	11	5
chr1_153181061_153194866	39	43	40	37
chr1_155582624_155588750	25	32	32	31
chr1_164826022_164835832	7	9	14	10
chr1_169152634_169154516	10	11	7	11
chr1_174066159_174080432	19	23	22	25
chr1_174190318_174193272	7	5	8	8
chr1_192748406_192749901	7	4	3	8
chr10_12588529_12592749	1	1	2	1
chr10_57251502_57253795	5	6	5	5
chr10_58681860_58687168	7	8	4	3
chr10_61177204_61179482	1	0	2	0
chr10_68671398_68676983	5	9	14	9
chr10_76874351_76882037	5	6	10	5
chr10_79721641_79726139	0	5	5	3
chr10_80126309_80139337	6	10	10	9
chr10_82292658_82298130	2	0	1	1
chr10_121062769_121063716	0	1	0	3
chr10_127806742_127813164	19	17	19	18
chr11_4530191_4538055	0	2	3	3
chr11_6173424_6174976	2	2	4	5
chr11_21269447_21279501	4	3	2	3
chr11_40540230_40549472	7	11	6	4
chr11_68674307_68686288	10	13	13	11
chr11_72419619_72435562	6	6	2	6
chr11_89885111_89892661	13	15	13	11
chr11_97489250_97492555	13	11	14	19
chr11_98898591_98904531	8	10	16	13
chr11_115023242_115030450	9	12	12	9
chr11_116514599_116517364	5	2	1	4
chr11_119088448_119098304	1	2	3	4
chr11_120285151_120303563	3	4	7	2
chr11_120793225_120802444	3	5	4	2
chr12_16596399_16597111	1	3	10	9
chr12_25363534_25371331	12	15	18	16
chr12_60114328_60128256	15	28	18	16
chr12_70825132_70830812	26	36	32	26
chr12_77498634_77507707	2	2	5	4
chr12_81357846_81363743	4	6	5	6
chr12_81889746_81895502	14	16	21	13
chr12_85746609_85750659	0	5	0	0
chr12_101756946_101763159	0	3	1	3
chr12_101962648_101964028	1	5	5	3
chr12_111837088_111840267	7	7	7	6
chr13_4038131_4048599	8	11	7	9
chr13_4226143_4235942	5	7	8	6
chr13_24851756_24857198	9	2	3	6
chr13_55543822_55552567	12	10	11	9
chr13_95050830_95060245	6	6	1	5
chr13_101414673_101421376	2	9	6	8
chr14_19067213_19072082	1	1	0	0
chr14_22650124_22651792	3	2	2	2
chr14_26501379_26514755	1	1	3	2
chr14_26575543_26589082	12	20	18	22
chr14_31937773_31944791	2	4	4	4
chr14_48086923_48094779	4	10	8	9
chr14_51700997_51711827	11	9	7	9
chr14_120674239_120675700	18	19	21	21
chr14_121304271_121314111	3	2	2	2
chr15_38941370_38946237	1	2	2	3
chr15_54749482_54752493	21	29	28	22
chr15_54902531_54912080	14	15	10	5
chr15_57960763_57967305	3	1	1	4
chr15_58243801_58252360	5	6	5	4
chr15_79164770_79189686	3	7	6	4
chr15_81631087_81654980	9	17	17	15
chr15_81686955_81694787	1	3	2	5
chr15_81702322_81703195	3	5	7	6
chr15_88691478_88696255	25	37	44	29
chr15_97613276_97616648	1	3	4	3
chr15_98659763_98663288	1	0	2	1
chr16_4886125_4889859	6	5	9	9
chr16_21945919_21965272	0	1	1	0
chr16_87695491_87701209	14	11	9	15
chr16_93825937_93835490	0	0	0	1
chr17_6131704_6134240	4	13	6	10
chr17_12961819_12965392	10	12	13	12
chr17_27977657_27995805	3	1	1	3
chr17_28652593_28654609	7	8	22	14
chr17_28658139_28660368	14	15	22	21
chr17_30138687_30145040	4	5	5	6
chr17_35959222_35968926	14	10	12	15
chr17_36116378_36117782	3	4	7	8
chr17_46780741_46793441	5	5	4	3
chr17_47141925_47150428	1	0	0	0
chr17_47637229_47639404	7	7	9	9
chr17_53705602_53711547	50	44	45	42
chr17_57071195_57075456	9	6	14	12
chr17_69730537_69735235	2	3	2	2
chr17_74298305_74303586	1	5	5	3
chr17_85069577_85087481	0	2	1	0
chr18_13099591_13100940	1	2	3	1
chr18_14938435_14944725	1	2	2	1
chr18_35089646_35092406	20	17	23	22
chr18_35821301_35829844	3	2	5	2
chr18_38575993_38581699	5	8	6	6
chr18_54017931_54023939	10	9	11	12
chr18_64640649_64651414	0	1	1	2
chr19_3321498_3326845	8	10	9	8
chr19_3698255_3710871	15	14	27	23
chr19_6303560_6324247	4	5	6	4
chr19_6993914_7005516	7	6	6	5
chr19_7045910_7054361	4	3	3	6
chr19_10674135_10682202	5	5	3	3
chr19_16852964_16856403	0	2	3	0
chr19_18704600_18706527	3	9	6	5
chr19_34821459_34822569	9	13	13	14
chr19_41058848_41069235	1	1	0	1
chr19_42221123_42228166	4	4	6	4
chr19_43854062_43858548	3	4	9	4
chr19_44180100_44182742	6	7	7	6
chr19_46467378_46471110	4	2	4	4
chr2_22923562_22925658	19	32	23	26
chr2_26785148_26789970	1	2	4	3
chr2_29781867_29793806	4	6	4	2
chr2_58418708_58420460	11	15	14	13
chr2_92273704_92274725	2	9	5	6
chr2_122051219_122065115	7	9	8	3
chr2_126695325_126709638	13	27	32	22
chr2_129618367_129628583	0	0	1	0
chr2_132520537_132528102	31	33	32	33
chr2_154958222_154961396	2	2	4	2
chr2_163328582_163336373	1	4	3	4
chr2_179840519_179854633	0	1	1	1
chr3_10364315_10368998	0	1	0	1
chr3_19061844_19064072	10	16	12	16
chr3_67379404_67389635	2	1	2	3
chr3_87706798_87711954	4	2	5	1
chr3_94937024_94939979	11	6	4	8
chr3_95683569_95686987	1	1	0	1
chr3_108247298_108254402	15	9	7	7
chr3_116508780_116513021	3	3	3	6
chr3_121121917_121132786	17	25	15	22
chr3_135145336_135150657	2	2	3	3
chr3_138736323_138753984	1	0	4	2
chr3_145649498_145660340	0	0	0	1
chr4_3604736_3618124	25	24	28	20
chr4_10932080_10937848	10	11	12	11
chr4_11117547_11119166	17	19	18	15
chr4_24823867_24827233	10	9	7	11
chr4_43006577_43023892	3	2	3	4
chr4_47349598_47370972	0	1	1	1
chr4_82960276_82973769	1	5	2	2
chr4_108450525_108458987	4	4	4	1
chr4_122638069_122639323	18	21	17	28
chr4_128663846_128669940	14	11	16	11
chr4_134404102_134411446	3	1	3	3
chr4_141428937_141438578	10	13	15	15
chr4_141566785_141571299	10	9	11	8
chr4_144832805_144842335	15	27	22	24
chr4_147961402_147977580	20	25	22	33
chr4_151380009_151391534	11	11	12	9
chr4_151544088_151558131	11	13	16	13
chr4_154930003_154951836	11	14	11	14
chr5_67695622_67699895	7	6	8	6
chr5_77379596_77382819	21	20	23	21
chr5_87329734_87336747	42	29	32	38
chr5_92933299_92939651	9	9	9	10
chr5_109120728_109129708	7	5	4	4
chr5_120913347_120940637	4	13	12	6
chr5_122723220_122735925	2	6	6	3
chr5_123517020_123518735	1	1	2	1
chr5_124131914_124134991	1	4	3	1
chr5_125078768_125080561	8	6	7	6
chr5_130499134_130505956	13	9	12	11
chr5_136106318_136113462	19	18	18	17
chr5_136142702_136146103	0	2	1	2
chr5_143103935_143123078	6	4	3	3
chr5_144995417_145009689	3	7	8	2
chr5_145713499_145734494	13	15	13	15
chr5_147041936_147048256	1	1	1	0
chr6_11850904_11860483	2	2	1	1
chr6_21795908_21804320	28	34	29	23
chr6_24537336_24551419	1	0	1	1
chr6_54544877_54548310	8	8	7	6
chr6_66841896_66847046	18	22	18	25
chr6_72046317_72052428	36	47	54	32
chr6_90317415_90324164	3	3	4	3
chr6_91417170_91426571	2	5	4	2
chr6_142418577_142423330	3	4	2	2
chr7_26021496_26033626	26	39	42	39
chr7_26437784_26451994	3	5	5	5
chr7_31909396_31922341	17	23	20	19
chr7_36368333_36383668	1	2	2	2
chr7_38891192_38897421	1	1	1	3
chr7_63085144_63105041	60	63	53	61
chr7_79442482_79452796	5	4	7	5
chr7_88850316_88852066	2	3	5	2
chr7_104552415_104571291	2	2	2	4
chr7_105499793_105515053	15	18	19	22
chr7_106288671_106290318	4	8	9	7
chr7_107373691_107380505	1	2	1	1
chr7_117264494_117267009	12	11	16	16
chr7_125719229_125733900	2	6	6	4
chr7_126669349_126670311	24	21	26	25
chr7_127816480_127824085	10	10	11	8
chr7_139798094_139804069	0	1	1	0
chr7_140121361_140126656	8	13	15	11
chr7_146099437_146102460	6	9	8	8
chr7_148040431_148045722	9	11	11	8
chr7_150929436_150949689	7	9	11	10
chr8_3493677_3512255	4	7	4	8
chr8_26859686_26870215	2	3	2	3
chr8_87512655_87525528	10	13	12	11
chr8_87595211_87599665	4	7	5	8
chr8_87604579_87611959	15	16	17	19
chr8_88075400_88080664	5	6	11	5
chr8_108487915_108491211	0	2	0	1
chr8_122097807_122099938	6	8	7	4
chr8_131209094_131212369	0	0	1	1
chr9_21313487_21316937	8	9	10	8
chr9_44138408_44170082	12	13	13	8
chr9_44201032_44206783	10	3	12	14
chr9_48792935_48795255	4	7	6	5
chr9_54431722_54435484	0	0	1	0
chr9_55174074_55183921	1	4	2	3
chr9_107489478_107493505	3	1	6	4
chr9_107569431_107571593	6	3	6	6
chr9_107873279_107896966	4	6	3	3
chr9_108470305_108481795	4	2	1	3
chr9_108549854_108560879	6	5	7	7
chr9_108682882_108707924	1	3	2	1
chr9_114593220_114599411	2	1	2	1
chr9_114834925_114844709	2	3	4	7
chr9_121205571_121209013	5	7	9	6
chrX_67718374_67731876	2	2	2	1
chrX_137130524_137137159	18	21	24	22
