zt0chic	zt6chic	zt12chic	zt18chic
chr4_59199006_59203340	48	50	36	49
chr4_81086720_81090500	2	2	0	1
chr4_82149019_82154045	36	37	30	35
chr4_101318821_101324098	14	19	18	15
chr4_126209701_126214814	10	11	13	8
chr4_135527898_135529274	9	10	8	10
chr5_20689490_20693937	12	18	15	16
chr5_23179161_23185738	2	2	4	1
chr5_34679962_34696312	3	2	2	3
chr5_88982326_88984026	22	33	32	28
chr5_89313321_89317799	104	100	80	101
chr5_111236144_111256072	16	15	18	12
chr5_123156939_123158236	3	5	4	4
chr5_138605276_138613749	0	1	1	1
chr6_59157626_59160204	27	28	24	17
chr6_88787467_88794036	35	40	39	33
chr6_145809941_145821817	14	4	8	3
chr7_29588453_29596780	7	5	14	9
chr7_52101238_52109290	4	5	7	7
chr7_52970808_52975302	1	6	10	6
chr7_77509449_77513823	2	5	0	2
chr7_117984429_117990013	18	17	25	22
chr7_134919394_134923040	10	6	5	6
chr7_150779465_150790815	7	7	9	9
chr8_89144518_89150378	3	4	7	6
chr8_97537731_97544289	6	7	3	7
chr8_121954864_121958351	2	4	6	10
chr9_14588175_14591092	7	6	6	7
chr9_44575442_44576740	4	3	8	3
chr9_110554057_110560469	21	18	23	25
chr9_113638665_113651898	23	24	22	20
chrX_97962719_97968059	17	18	15	13
chr1_16508771_16511513	2	2	2	2
chr1_54975527_54983482	7	8	9	6
chr1_80336329_80338541	9	19	14	10
chr1_95581415_95587272	13	12	10	11
chr1_161972488_161983982	6	8	8	7
chr10_58865719_58867133	11	12	8	11
chr10_62696231_62709335	17	16	11	18
chr10_75896826_75908250	0	1	0	1
chr10_84037827_84054806	2	3	1	2
chr10_92998367_93005291	3	6	3	5
chr10_114686999_114694728	8	11	7	8
chr10_118303546_118307280	7	9	5	7
chr10_120899193_120913964	7	19	23	21
chr10_126409235_126419123	14	10	10	14
chr10_128021606_128030491	4	3	3	5
chr11_40508171_40509370	9	14	11	7
chr11_49981480_49992149	8	8	7	11
chr11_69379973_69394153	3	5	2	5
chr11_70460650_70464319	29	22	32	28
chr11_75252119_75263365	19	18	16	15
chr11_98633682_98636939	5	9	8	7
chr11_109334127_109342410	8	4	8	11
chr11_109581098_109583901	3	9	4	7
chr12_3798499_3806240	2	8	6	6
chr12_25330299_25337156	15	11	15	13
chr12_110080717_110092097	0	1	2	0
chr12_114315690_114339370	27	28	32	38
chr13_18805699_18810688	6	11	7	5
chr13_31065610_31070989	3	4	2	3
chr13_33087036_33095392	1	2	0	1
chr13_41339422_41346482	6	5	6	2
chr13_59923882_59926066	3	2	3	3
chr13_105075275_105096960	26	34	29	24
chr14_21609268_21614924	25	21	29	24
chr14_48281044_48284432	0	1	0	1
chr14_55391373_55402225	18	17	17	16
chr14_61252589_61262903	7	7	12	11
chr15_6651759_6660019	2	4	5	4
chr15_10910400_10911978	19	18	17	23
chr15_51819840_51824505	1	2	7	4
chr15_88919453_88923076	28	18	22	25
chr15_89207890_89217892	13	5	12	11
chr15_89305107_89327841	5	5	6	5
chr15_101104369_101122522	2	3	3	4
chr16_4678252_4681525	22	13	23	11
chr16_20096881_20098526	1	7	6	6
chr17_21069843_21085410	8	8	10	6
chr17_24486270_24489604	19	12	21	14
chr17_24937513_24943533	4	2	2	1
chr17_27691814_27695295	2	2	3	1
chr17_34160450_34184723	1	2	1	5
chr17_35262629_35274001	5	7	12	15
chr17_72114926_72132432	1	2	3	3
chr17_73449052_73460375	3	3	2	4
chr17_79417973_79425199	4	12	8	8
chr17_84101460_84109623	1	3	1	2
chr18_7624351_7633617	4	2	3	5
chr18_30430244_30438068	1	3	0	1
chr18_37669213_37676992	3	4	5	5
chr18_42409413_42422235	5	6	12	10
chr19_3561025_3575999	6	5	7	6
chr19_6241334_6244733	1	1	1	0
chr19_7415743_7416376	12	6	18	17
chr19_41456761_41463364	20	20	23	19
chr19_42852350_42856847	4	5	4	6
chr19_53595789_53604769	8	12	7	7
chr19_53965347_53974068	13	14	18	12
chr19_55382981_55391275	8	10	8	10
chr2_35054494_35062455	1	2	3	2
chr2_69177068_69180842	27	22	21	31
chr2_69218316_69233555	20	27	13	23
chr2_72118481_72131986	1	2	2	2
chr2_73149220_73150773	0	1	2	2
chr2_119301744_119308118	1	1	2	2
chr2_131967510_131973113	3	6	3	3
chr2_152114612_152121834	10	11	9	9
chr2_152167294_152183828	3	4	4	3
chr2_164268777_164270830	2	2	4	6
chr3_41348369_41360906	2	7	4	4
chr3_88515976_88521669	0	2	2	0
chr3_107841097_107848765	12	15	9	11
chr3_108058097_108059985	14	16	21	22
chr3_121425636_121428961	55	49	50	55
chr3_145418960_145425807	22	23	21	24
chr3_145582230_145588823	5	4	1	3
chr3_153573393_153578862	4	4	5	4
chr4_40210181_40217710	33	38	41	33
chr4_83169326_83184087	2	4	4	5
chr4_116226898_116231846	3	3	7	2
chr4_120685296_120691987	16	17	15	12
chr4_125873607_125882432	9	4	4	6
chr4_126635956_126651007	2	1	2	2
chr4_128922661_128942740	15	18	13	12
chr4_130215437_130225484	4	4	6	1
chr4_132908769_132921283	0	0	0	1
chr4_138524780_138528851	1	2	7	8
chr4_140218987_140233350	1	1	2	2
chr4_147241413_147245652	10	8	10	8
chr4_147821243_147833641	7	9	6	4
chr4_151696236_151701593	3	3	4	4
chr5_8996065_8997766	47	57	50	43
chr5_100467029_100469885	22	15	20	16
chr5_112761532_112775273	10	13	15	11
chr5_118421017_118429994	0	2	3	3
chr5_134931926_134944709	13	13	17	20
chr5_144571620_144635313	3	5	5	5
chr6_88576960_88578762	9	14	9	10
chr6_106743659_106751995	2	3	4	1
chr6_113582688_113592892	6	7	9	8
chr6_146836521_146839825	1	3	3	2
chr7_6106348_6109493	10	10	14	18
chr7_16530188_16536043	18	16	17	22
chr7_20381651_20384458	21	18	29	20
chr7_26533220_26542882	8	10	8	12
chr7_56099545_56108009	10	13	11	12
chr7_104226935_104231482	9	10	4	8
chr7_108485356_108497066	3	3	4	4
chr7_132847847_132870914	13	13	9	16
chr7_134963465_134970594	0	1	0	3
chr7_140310191_140317800	1	0	0	2
chr7_147333763_147346181	15	12	10	10
chr8_3630693_3637420	6	6	10	9
chr8_23585869_23589161	68	55	59	55
chr8_59026246_59032971	13	13	10	11
chr8_73244267_73251346	21	17	17	22
chr8_75090758_75116467	16	19	19	18
chr8_86747891_86773998	8	6	8	7
chr8_87498010_87502637	8	9	10	11
chr8_93592791_93594735	1	5	4	6
chr8_107824899_107839799	1	0	1	1
chr8_120193409_120200262	10	11	16	13
chr8_120225204_120231804	12	18	19	21
chr8_127528806_127542704	3	2	2	3
chr9_21868450_21880920	6	6	6	6
chr9_34921009_34925355	37	40	36	40
chr9_50362974_50364731	7	4	9	7
chr9_57756105_57764966	1	1	1	2
chr9_75256181_75260172	9	10	14	11
chr9_92143210_92146051	12	17	21	15
chr9_95844385_95857823	3	1	2	4
chr9_104163027_104172080	2	2	1	2
chr9_110234643_110236824	14	17	18	16
chr9_110649007_110651629	4	5	2	4
chrX_98567494_98577631	2	1	2	2
