chr	start	end	ID	ADJ.P-value	PER	AMP	ZT1	ZT4	ZT7	ZT10	ZT13	ZT16	ZT19	ZT22	max	min	fold change	ADJ.phase
chr1	159380141	159380641	intergenic_bi_473	0.002024057	24	3.754737008	19.02	14.48	14.77	9.15	8.98	7.62	7.53	11.31	19.02	7.53	2.525896414	1
chr1	166717904	166718404	intergenic_bi_499	1.77E-05	24	3.450681092	17.52	10.96	5.39	1.45	0.36	4.47	5.52	5.41	17.52	0.36	48.66666667	1
chr1	167548214	167548714	intragenic_bi_524	0.002024057	24	6.23668181	27.03	15.65	9.38	6.83	4.49	15.77	9.28	22.3	27.03	4.49	6.020044543	1
chr1	167573199	167573699	intergenic_si_1179	0.002024057	24	7.474118677	53.06	38.74	28.55	24.41	26.03	28.38	39.4	32.46	53.06	24.41	2.173699304	1
chr1	167648841	167649341	intergenic_si_1182	1.77E-05	24	1.385929291	7.01	5.48	4.79	3.78	2.69	2.1	5.02	5.74	7.01	2.1	3.338095238	1
chr1	167696101	167696601	intragenic_si_492	0.002024057	24	13.15218613	34.54	23.87	11.58	15.11	8.44	10.25	33.38	28.85	34.54	8.44	4.092417062	1
chr1	167696423	167696923	intragenic_si_493	0.002024057	24	11.74504364	30.03	20.74	10.38	12.35	6.64	8.15	28.61	24.76	30.03	6.64	4.522590361	1
chr1	167697254	167697754	intragenic_si_494	0.002024057	24	1.506137444	6.01	3.13	4.19	2.91	1.26	1.31	5.02	4.43	6.01	1.26	4.76984127	1
chr1	174456855	174457355	intragenic_si_524	0.011607466	24	1.994041123	15.52	7.44	8.38	5.96	4.13	2.89	8.78	8.69	15.52	2.89	5.370242215	1
chr1	180298949	180299449	intergenic_bi_559	5.97E-07	24	33.75020667	170.2	138.92	99.41	82.83	70.38	91.19	130.99	138.86	170.2	70.38	2.418300654	1
chr1	180299379	180299879	intergenic_bi_560	5.34E-09	24	22.98097039	87.1	72.39	59.89	48.97	38.6	50.19	71.77	84.6	87.1	38.6	2.256476684	1
chr1	181766475	181766975	intergenic_si_1364	0.002024057	24	2.644579362	6.01	5.48	1.6	0.29	2.69	1.58	5.52	5.9	6.01	0.29	20.72413793	1
chr1	182698617	182699117	intergenic_si_1401	5.97E-07	24	5.289158723	16.02	14.87	6.19	4.94	4.31	5.26	10.54	12.46	16.02	4.31	3.716937355	1
chr1	182708255	182708755	intergenic_bi_578	0.011607466	24	22.627417	111.13	96.27	65.87	66.12	62.12	73.58	98.12	94.6	111.13	62.12	1.788956858	1
chr1	182965527	182966027	intergenic_si_1417	0.002024057	24	5.154808435	17.02	10.17	7.59	4.21	4.49	5.26	12.55	9.84	17.02	4.21	4.042755344	1
chr1	183140555	183141055	intragenic_bi_603	0.002024057	24	2.397091988	13.52	10.57	6.79	5.81	7.18	9.2	10.04	10.49	13.52	5.81	2.327022375	1
chr1	184201179	184201679	intergenic_bi_601	5.97E-07	24	28.65903784	126.14	120.92	80.65	60.02	57.81	76.21	96.11	96.24	126.14	57.81	2.181975437	1
chr1	184436356	184436856	intragenic_bi_612	0.002024057	24	2.955706345	7.51	3.13	1	1.02	3.05	4.2	5.77	5.74	7.51	1	7.51	1
chr1	185924227	185924727	intergenic_bi_608	0.011607466	24	1.58391919	13.52	7.83	8.38	7.27	3.95	9.46	12.05	9.51	13.52	3.95	3.42278481	1
chr1	186682089	186682589	intergenic_bi_617	0.011607466	24	3.966869042	19.52	9.39	16.17	3.78	8.08	3.68	8.78	8.53	19.52	3.68	5.304347826	1
chr1	192895308	192895808	intragenic_bi_641	0.011607466	24	1.230365799	9.01	5.48	4.59	4.8	3.95	3.94	7.03	5.57	9.01	3.94	2.28680203	1
chr1	192896774	192897274	intragenic_si_599	0.005044451	24	1.378858223	5.51	3.91	1.8	1.31	0.9	3.15	3.26	1.8	5.51	0.9	6.122222222	1
chr1	192899126	192899626	intragenic_si_600	0.002024057	24	2.793071786	19.52	10.96	5.59	5.81	4.31	6.31	9.54	7.54	19.52	4.31	4.52900232	1
chr1	193780088	193780588	intergenic_bi_653	0.002024057	24	34.82500897	92.11	55.96	42.92	35.31	34.47	63.07	90.09	86.73	92.11	34.47	2.672178706	1
chr1	196308826	196309326	intergenic_bi_665	0.000244031	24	5.098239892	14.02	11.35	1.6	0.87	0.9	1.31	11.29	7.38	14.02	0.87	16.11494253	1
chr1	196503999	196504499	intragenic_si_621	0.002024057	24	0.876812409	6.51	3.91	4.19	3.78	3.41	1.31	2.01	2.95	6.51	1.31	4.969465649	1
chr1	196705650	196706150	intergenic_si_1557	1.77E-05	24	4.582051942	26.03	25.04	16.77	18.6	14	19.71	24.09	25.08	26.03	14	1.859285714	1
chr10	6628146	6628646	intergenic_bi_679	0.000244031	24	4.681046891	30.03	26.61	24.15	24.99	9.87	13.93	24.84	29.84	30.03	9.87	3.042553191	1
chr10	7559308	7559808	intragenic_si_644	1.77E-05	24	2.453660531	6.01	3.91	2.6	0	0.54	2.1	4.02	5.57	6.01	0.01	601	1
chr10	7808455	7808955	intergenic_si_1636	0.002024057	24	4.617407281	13.01	6.65	0	0.15	0.36	4.2	6.27	6.89	13.01	0.01	1301	1
chr10	7915445	7915945	intergenic_si_1638	1.77E-05	24	4.730544366	11.51	9.78	0.8	1.02	0.36	1.58	6.27	10.66	11.51	0.36	31.97222222	1
chr10	17445633	17446133	intragenic_bi_720	0.011607466	24	0.671751442	5.01	3.52	1	1.02	3.77	4.47	4.27	4.26	5.01	1	5.01	1
chr10	17445807	17446307	intragenic_si_656	0.011607466	24	1.081873375	5.01	3.13	1.2	1.02	3.95	4.99	4.52	4.92	5.01	1.02	4.911764706	1
chr10	21166525	21167025	intergenic_bi_719	0.000244031	24	19.98283764	39.55	28.57	16.57	1.74	3.05	0.79	21.08	31.31	39.55	0.79	50.06329114	1
chr10	24561800	24562300	intergenic_bi_734	0.002024057	24	16.79378605	113.63	72	63.48	36.33	50.81	54.66	103.39	65.74	113.63	36.33	3.127718139	1
chr10	24561963	24562463	intergenic_bi_735	0.002024057	24	20.7818683	111.13	74.35	62.48	36.04	49.91	53.35	101.38	70.17	111.13	36.04	3.083518313	1
chr10	38890827	38891327	intergenic_si_1824	0.002024057	24	1.58391919	6.51	4.3	3.99	2.03	2.51	1.58	4.52	4.75	6.51	1.58	4.120253165	1
chr10	38891462	38891962	intergenic_bi_754	0.011607466	24	6.901362184	24.03	20.35	19.36	8.43	10.59	9.2	18.57	11.8	24.03	8.43	2.850533808	1
chr10	38892891	38893391	intergenic_si_1826	0.011607466	24	2.361736649	6.51	4.7	5.79	2.18	1.97	1.58	5.52	4.26	6.51	1.58	4.120253165	1
chr10	42483058	42483558	intragenic_si_734	0.024890262	21	2.298097039	9.51	2.74	0.8	1.02	2.51	7.62	4.27	3.61	9.51	0.8	11.8875	1
chr10	51488184	51488684	intergenic_bi_798	0.000244031	24	5.10531096	12.51	5.87	2.4	2.03	1.97	5.78	10.29	7.05	12.51	1.97	6.350253807	1
chr10	58728275	58728775	intergenic_si_1963	0.002024057	24	1.13137085	5.51	4.3	3.79	3.34	3.05	1.31	2.51	4.43	5.51	1.31	4.20610687	1
chr10	59231300	59231800	intragenic_bi_842	0.011607466	24	2.510229073	14.52	4.3	1.6	5.38	7.72	10.25	10.04	9.02	14.52	1.6	9.075	1
chr10	59247858	59248358	intragenic_bi_843	0.011607466	23	5.296229791	22.03	3.52	1	3.49	2.51	9.46	12.8	12.3	22.03	1	22.03	1
chr10	60775479	60775979	intergenic_bi_832	0.002024057	24	8.117585848	45.55	34.04	22.56	13.37	18.49	25.49	30.11	29.35	45.55	13.37	3.406881077	1
chr10	67745714	67746214	intergenic_bi_861	0.002024057	24	8.640844866	29.03	25.83	10.98	10.9	10.95	14.72	23.59	19.35	29.03	10.9	2.663302752	1
chr10	67907032	67907532	intragenic_si_823	0.000244031	24	7.021570337	16.02	12.13	2.2	1.6	4.67	5.78	9.03	12.95	16.02	1.6	10.0125	1
chr10	67909301	67909801	intragenic_bi_899	0.002024057	24	3.493107499	17.52	15.65	6.19	1.16	6.82	8.41	9.54	9.67	17.52	1.16	15.10344828	1
chr10	67992066	67992566	intragenic_bi_900	0.011607466	24	4.016366517	27.53	13.3	17.77	5.67	8.08	7.62	9.54	9.84	27.53	5.67	4.855379189	1
chr10	70800855	70801355	intragenic_bi_912	0.011607466	24	24.52953424	145.67	96.27	63.68	31.68	70.2	57.81	94.36	85.74	145.67	31.68	4.598169192	1
chr10	70802112	70802612	intragenic_si_837	0.000244031	24	2.418305192	16.02	3.91	3.59	1.45	2.15	3.42	6.78	5.57	16.02	1.45	11.04827586	1
chr10	70802862	70803362	intragenic_si_838	0.024890262	21	6.618519472	23.03	3.91	2.4	2.18	4.13	11.56	11.54	6.72	23.03	2.18	10.56422018	1
chr10	74508367	74508867	intragenic_bi_914	0.000244031	24	82.19409225	237.27	223.44	107.2	69.03	31.42	126.14	220.58	201.82	237.27	31.42	7.551559516	1
chr10	74516795	74517295	intragenic_bi_916	0.002024057	24	1.887975106	5.01	4.7	1.6	2.03	0.9	4.2	2.76	4.43	5.01	0.9	5.566666667	1
chr10	74874976	74875476	intragenic_bi_920	1.77E-05	24	1.909188309	13.52	8.22	5.79	6.39	3.77	7.1	7.78	11.31	13.52	3.77	3.586206897	1
chr10	80032346	80032846	intragenic_bi_1019	0.000244031	24	4.9426764	25.03	18.78	8.98	5.81	5.39	9.46	12.8	10.33	25.03	5.39	4.643784787	1
chr10	80082284	80082784	intergenic_bi_955	0.011607466	24	1.598061325	15.02	11.35	13.17	9.59	7.36	9.99	13.8	10.49	15.02	7.36	2.04076087	1
chr10	80082398	80082898	intergenic_bi_956	0.011607466	24	2.39002092	16.02	12.13	13.17	9.74	7.18	9.99	14.81	10.98	16.02	7.18	2.231197772	1
chr10	80142159	80142659	intergenic_bi_962	0.011607466	24	18.17264428	61.07	23.48	21.36	27.17	41.11	29.43	59.47	54.43	61.07	21.36	2.859082397	1
chr10	80206959	80207459	intergenic_bi_966	0.011607466	24	2.361736649	16.02	6.65	6.39	6.25	8.26	9.99	8.28	8.69	16.02	6.25	2.5632	1
chr10	80286780	80287280	intergenic_bi_971	0.002024057	24	17.81909089	52.06	39.52	9.58	7.7	8.8	14.98	35.63	26.72	52.06	7.7	6.761038961	1
chr10	80762640	80763140	intragenic_si_932	0.000244031	24	8.56306312	20.52	20.35	10.18	7.85	7.72	12.09	20.08	16.23	20.52	7.72	2.658031088	1
chr10	82215638	82216138	intragenic_bi_1072	0.011607466	24	3.606244584	22.03	18.78	16.17	15.26	15.62	13.14	13.55	20.66	22.03	13.14	1.676560122	1
chr10	84348835	84349335	intragenic_bi_1083	5.97E-07	24	3.153696244	11.01	5.48	2.6	1.02	0.54	3.15	4.77	9.18	11.01	0.54	20.38888889	1
chr10	87180691	87181191	intergenic_si_2324	0.011607466	24	1.371787156	19.02	5.09	1.2	1.16	0.9	7.62	1.51	2.79	19.02	0.9	21.13333333	1
chr10	92983442	92983942	intergenic_si_2378	0.000244031	24	50.47328204	209.24	147.14	125.76	67.86	64.09	86.46	157.84	140.5	209.24	64.09	3.264783898	1
chr10	92983868	92984368	intergenic_si_2379	0.000244031	24	49.28534265	166.19	115.83	93.82	52.6	55.3	73.84	143.54	123.94	166.19	52.6	3.159505703	1
chr10	93942330	93942830	intergenic_bi_1063	0.002024057	24	2.050609665	20.52	15.65	11.98	12.64	11.67	9.99	10.54	13.44	20.52	9.99	2.054054054	1
chr10	94759585	94760085	intragenic_bi_1145	0.024890262	21	3.316330804	19.02	8.22	5.79	5.96	7	9.2	11.04	8.2	19.02	5.79	3.284974093	1
chr10	95158470	95158970	intergenic_bi_1081	0.011607466	24	8.980256121	36.54	32.87	32.74	14.24	25.31	13.93	27.6	25.25	36.54	13.93	2.623115578	1
chr10	96153585	96154085	intergenic_bi_1096	0.011607466	24	3.06884343	8.01	4.7	3.59	1.89	2.69	1.05	7.03	6.23	8.01	1.05	7.628571429	1
chr10	98580460	98580960	intragenic_si_1077	0.002024057	24	1.258650071	10.51	4.3	3.79	2.91	0.72	2.1	2.01	2.13	10.51	0.72	14.59722222	1
chr10	98706242	98706742	intergenic_si_2461	0.000244031	24	6.844793642	19.52	16.83	18.17	7.27	7	6.83	11.54	11.97	19.52	6.83	2.857979502	1
chr10	98724209	98724709	intergenic_bi_1110	0.000244031	24	7.035712473	126.65	95.09	93.82	79.05	88.51	85.14	88.83	115.09	126.65	79.05	1.602150538	1
chr10	98930140	98930640	intergenic_bi_1117	0.011607466	24	3.39411255	17.02	12.52	14.37	10.17	7.54	9.72	7.78	13.12	17.02	7.54	2.25729443	1
chr10	99062220	99062720	intergenic_bi_1118	0.002024057	24	2.722361108	17.02	13.3	14.37	7.27	8.44	10.25	10.79	14.1	17.02	7.27	2.341127923	1
chr10	110144344	110144844	intergenic_bi_1130	0.002024057	24	18.21507068	63.57	60.65	12.78	29.64	28.01	32.32	49.94	53.77	63.57	12.78	4.974178404	1
chr10	110230424	110230924	intergenic_si_2495	0.000244031	24	2.467802666	12.01	6.26	2.99	2.47	3.77	4.73	5.52	11.8	12.01	2.47	4.862348178	1
chr10	118186758	118187258	intergenic_bi_1193	0.002024057	24	6.39931637	31.54	11.74	5.99	1.89	2.69	4.73	16.31	8.03	31.54	1.89	16.68783069	1
chr10	121823696	121824196	intergenic_si_2672	5.97E-07	24	24.72752414	77.09	45.39	6.79	2.18	2.51	6.04	32.87	65.74	77.09	2.18	35.36238532	1
chr10	121824357	121824857	intergenic_si_2673	5.34E-09	24	34.25225248	113.13	63.79	7.79	2.62	2.15	7.1	45.42	92.3	113.13	2.15	52.61860465	1
chr10	121824753	121825253	intergenic_si_2674	5.97E-07	24	15.67655734	47.55	29.74	3.59	1.31	0.54	3.94	20.08	39.68	47.55	0.54	88.05555556	1
chr10	121887941	121888441	intragenic_bi_1227	0.000244031	24	4.334564569	10.01	4.3	0.8	0.58	1.08	5.52	4.77	7.21	10.01	0.58	17.25862069	1
chr10	121892769	121893269	intergenic_bi_1227	0.002024057	24	24.76995054	70.08	63.39	39.52	16.71	23.16	38.63	66.25	55.09	70.08	16.71	4.193895871	1
chr10	121906476	121906976	intergenic_bi_1228	7.09E-05	24	7.332697321	21.52	16.04	10.98	5.67	4.49	6.31	15.06	10.98	21.52	4.49	4.792873051	1
chr10	121906614	121907114	intergenic_bi_1229	0.002024057	24	6.929646456	20.02	15.26	11.18	5.23	3.95	5.78	15.56	9.84	20.02	3.95	5.06835443	1
chr10	127105791	127106291	intragenic_si_1153	1.77E-05	24	1.244507935	9.01	5.87	6.19	4.36	2.51	4.47	5.27	6.23	9.01	2.51	3.589641434	1
chr10	127341744	127342244	intragenic_si_1156	0.011607466	24	2.835498193	7.51	1.96	2.99	2.76	4.67	4.99	6.78	6.89	7.51	1.96	3.831632653	1
chr10	127531581	127532081	intragenic_bi_1271	0.011607466	24	2.630437226	15.02	8.22	7.59	10.46	4.85	4.47	11.04	11.31	15.02	4.47	3.360178971	1
chr10	127781915	127782415	intragenic_bi_1288	0.011607466	24	4.419417382	20.02	9.39	4.79	2.91	6.1	4.73	17.82	10.98	20.02	2.91	6.879725086	1
chr10	128216397	128216897	intergenic_bi_1316	0.002024057	24	2.298097039	12.51	10.96	8.38	6.1	7.18	8.41	10.54	9.84	12.51	6.1	2.050819672	1
chr11	7092576	7093076	intergenic_bi_1376	1.77E-05	24	6.660945879	19.52	14.09	10.38	4.5	4.67	5.78	8.53	14.26	19.52	4.5	4.337777778	1
chr11	7094417	7094917	intergenic_bi_1377	1.77E-05	24	5.572001436	21.52	12.91	9.58	3.2	5.03	7.62	8.78	14.43	21.52	3.2	6.725	1
chr11	7095212	7095712	intergenic_si_2899	0.002024057	24	4.384062043	9.51	6.65	1	1.16	2.33	3.42	6.27	8.85	9.51	1	9.51	1
chr11	20377343	20377843	intergenic_bi_1415	0.000244031	24	14.48861795	84.1	58.31	45.51	51.01	40.04	51.77	66	69.19	84.1	40.04	2.1003996	1
chr11	22771459	22771959	intragenic_si_1284	0.002024057	24	1.046518036	8.51	7.44	7.79	6.68	4.49	6.31	5.52	7.38	8.51	4.49	1.89532294	1
chr11	22967605	22968105	intergenic_bi_1445	0.011607466	24	21.58797003	161.69	134.22	84.84	110.3	86.89	137.44	119.2	140.83	161.69	84.84	1.905822725	1
chr11	30191110	30191610	intergenic_bi_1473	0.000244031	24	1.449568901	8.01	7.44	6.79	6.25	5.39	4.99	3.51	6.72	8.01	3.51	2.282051282	1
chr11	45886180	45886680	intragenic_si_1324	0.000244031	24	0.862670273	6.51	0.78	0	0.29	0.36	0.79	1.51	4.43	6.51	0.01	651	1
chr11	48633762	48634262	intergenic_bi_1512	0.000244031	24	2.085965005	9.51	1.96	1.4	1.31	2.51	3.15	4.52	6.56	9.51	1.31	7.259541985	1
chr11	48901634	48902134	intragenic_si_1332	0.000244031	24	19.60099997	46.55	21.13	3.79	3.63	12.93	31.01	40.65	32.46	46.55	3.63	12.82369146	1
chr11	48901794	48902294	intragenic_si_1333	0.011607466	23	19.72356515	44.55	19.57	3.19	3.49	12.03	30.22	37.64	28.03	44.55	3.19	13.96551724	1
chr11	49059016	49059516	intragenic_bi_1476	1.77E-05	24	5.161879503	35.04	26.22	21.56	24.27	14.9	20.76	25.35	34.76	35.04	14.9	2.351677852	1
chr11	49081669	49082169	intergenic_bi_1521	0.011607466	24	2.071822869	16.52	12.91	15.97	11.33	8.8	12.09	15.56	13.44	16.52	8.8	1.877272727	1
chr11	51618545	51619045	intergenic_si_3211	0.002024057	24	9.121677477	74.59	52.44	51.1	44.47	45.96	44.15	55.96	58.86	74.59	44.15	1.689467724	1
chr11	51908045	51908545	intergenic_bi_1556	0.002024057	24	2.849640328	23.03	16.83	15.77	18.89	12.03	7.62	12.8	14.26	23.03	7.62	3.022309711	1
chr11	57775964	57776464	intergenic_bi_1594	0.000244031	24	23.2425999	68.58	53.22	18.96	22.38	19.57	33.64	45.67	55.25	68.58	18.96	3.617088608	1
chr11	57800288	57800788	intergenic_bi_1599	0.000244031	24	11.85110965	75.59	30.91	27.35	15.26	14.54	34.43	39.15	42.95	75.59	14.54	5.198762036	1
chr11	57819475	57819975	intergenic_si_3311	0.000244031	24	3.309259736	17.02	13.7	10.38	13.22	6.46	9.2	11.04	16.39	17.02	6.46	2.634674923	1
chr11	57823821	57824321	intragenic_bi_1546	1.77E-05	24	14.50276008	150.17	97.83	88.03	41.12	45.24	81.47	97.87	101.98	150.17	41.12	3.651994163	1
chr11	57823991	57824491	intragenic_si_1403	0.000244031	24	11.95717567	139.66	96.27	83.44	39.53	44.34	79.36	94.1	93.78	139.66	39.53	3.533012902	1
chr11	57824279	57824779	intragenic_bi_1547	5.97E-07	24	14.70782105	90.1	61.83	57.09	24.85	32.68	48.88	58.22	69.68	90.1	24.85	3.625754527	1
chr11	60756140	60756640	intragenic_si_1434	0.002024057	24	2.029396462	7.51	5.87	2.4	2.91	1.8	3.15	5.27	4.43	7.51	1.8	4.172222222	1
chr11	61350421	61350921	intragenic_si_1438	0.011607466	24	1.187939392	6.01	3.13	4.19	4.07	1.26	1.84	2.51	4.1	6.01	1.26	4.76984127	1
chr11	62300995	62301495	intragenic_si_1441	0.002024057	24	7.813529932	39.04	16.04	0.6	5.52	2.33	7.88	11.54	14.43	39.04	0.6	65.06666667	1
chr11	62301386	62301886	intragenic_si_1442	0.011607466	24	5.769991334	32.04	12.52	0.2	4.36	2.15	6.57	10.04	8.85	32.04	0.2	160.2	1
chr11	69230891	69231391	intergenic_si_3448	0.011607466	24	1.110157646	22.03	10.17	11.98	11.48	5.03	12.61	13.05	17.38	22.03	5.03	4.37972167	1
chr11	69921929	69922429	intergenic_si_3465	0.000244031	24	15.93818685	56.06	48.13	19.16	17.87	15.44	24.7	43.92	31.15	56.06	15.44	3.630829016	1
chr11	69922181	69922681	intergenic_si_3466	0.000244031	24	12.18344984	55.56	47.74	23.95	22.67	14.9	24.44	39.9	31.64	55.56	14.9	3.72885906	1
chr11	69922342	69922842	intergenic_si_3467	1.77E-05	24	12.51579003	57.07	49.31	25.55	21.94	15.26	24.18	39.9	29.35	57.07	15.26	3.739842726	1
chr11	70258126	70258626	intergenic_bi_1709	0.011607466	24	6.427600641	26.53	14.09	18.56	10.46	14	10.51	21.08	20.66	26.53	10.46	2.536328872	1
