chr	start	end	ID	strand*
chr1	23270298	23270798	intergenic_si_110	+
chr1	23272439	23272939	intergenic_si_111	-
chr1	24114153	24114653	intergenic_bi_47	+
chr1	24114602	24115102	intergenic_bi_48	+
chr1	24115228	24115728	intergenic_si_135	-
chr1	24756145	24756645	intragenic_bi_35	-
chr1	24757180	24757680	intragenic_si_37	-
chr1	31003360	31003860	intragenic_si_40	+
chr1	31071992	31072492	intergenic_si_152	+
chr1	31072885	31073385	intergenic_bi_52	+
chr1	31074162	31074662	intergenic_si_154	+
chr1	31074350	31074850	intergenic_si_155	-
chr1	31076026	31076526	intergenic_bi_53	+
chr1	31103227	31103727	intergenic_si_157	+
chr1	31129580	31130080	intergenic_si_158	-
chr1	31129879	31130379	intergenic_si_159	-
chr1	31150773	31151273	intergenic_bi_54	+
chr1	31151604	31152104	intergenic_bi_55	+
chr1	31152500	31153000	intergenic_bi_56	+
chr1	31152911	31153411	intergenic_bi_57	+
chr1	31153122	31153622	intergenic_bi_58	+
chr1	33790785	33791285	intragenic_bi_39	-
chr1	33790932	33791432	intragenic_bi_40	-
chr1	33810965	33811465	intragenic_si_42	+
chr1	34293158	34293658	intragenic_bi_41	-
chr1	34294331	34294831	intragenic_bi_42	-
chr1	34294498	34294998	intragenic_bi_43	-
chr1	34489962	34490462	intergenic_bi_59	+
chr1	34491559	34492059	intragenic_bi_44	+
chr1	34908390	34908890	intragenic_si_43	-
chr1	35893345	35893845	intergenic_bi_60	+
chr1	36121696	36122196	intergenic_si_175	-
chr1	36122928	36123428	intergenic_bi_61	+
chr1	36126295	36126795	intragenic_si_45	-
chr1	36128080	36128580	intragenic_si_46	-
chr1	36129593	36130093	intragenic_si_47	-
chr1	36130350	36130850	intragenic_si_48	-
chr1	36131444	36131944	intragenic_si_49	-
chr1	36131786	36132286	intragenic_bi_49	-
chr1	36132444	36132944	intragenic_si_51	-
chr1	36150201	36150701	intragenic_si_52	-
chr1	36188535	36189035	intergenic_si_177	+
chr1	36327404	36327904	intragenic_si_54	+
chr1	36526822	36527322	intergenic_si_182	+
chr1	36583693	36584193	intragenic_bi_52	-
chr1	36585833	36586333	intragenic_bi_53	-
chr1	36611341	36611841	intragenic_si_56	+
chr1	36628404	36628904	intragenic_si_57	+
chr1	36637207	36637707	intragenic_bi_58	+
chr1	36751667	36752167	intragenic_bi_59	-
chr1	36839229	36839729	intragenic_bi_60	-
chr1	36993761	36994261	intragenic_si_65	+
chr1	37082189	37082689	intergenic_si_187	-
chr1	37082726	37083226	intergenic_bi_70	+
chr1	37083065	37083565	intergenic_si_189	+
chr1	37083617	37084117	intergenic_si_190	+
chr1	37097918	37098418	intragenic_bi_61	-
chr1	37113995	37114495	intragenic_bi_62	-
chr1	37398224	37398724	intragenic_si_69	-
chr1	37398682	37399182	intragenic_si_70	-
chr1	37930864	37931364	intragenic_bi_66	-
chr1	37934783	37935283	intragenic_bi_67	-
chr1	39159700	39160200	intergenic_si_199	+
chr1	39162304	39162804	intergenic_bi_75	+
chr1	39249446	39249946	intergenic_bi_76	+
chr1	39482277	39482777	intragenic_si_71	+
chr1	39491019	39491519	intragenic_bi_72	+
chr1	39491170	39491670	intragenic_si_72	+
chr1	39502392	39502892	intragenic_si_73	+
chr1	39533040	39533540	intragenic_si_74	+
chr1	39636037	39636537	intergenic_si_202	-
chr1	39648465	39648965	intergenic_si_208	-
chr1	39648863	39649363	intergenic_bi_81	+
chr1	39665373	39665873	intergenic_si_214	-
chr1	39668575	39669075	intergenic_si_216	+
chr1	39669180	39669680	intergenic_si_217	+
chr1	39818754	39819254	intergenic_si_219	+
chr1	40212358	40212858	intergenic_si_220	-
chr1	40212512	40213012	intergenic_si_221	-
chr1	40212852	40213352	intergenic_si_222	-
chr1	40213040	40213540	intergenic_bi_82	+
chr1	40213845	40214345	intergenic_bi_83	+
chr1	40217787	40218287	intergenic_bi_84	+
chr1	40219652	40220152	intergenic_si_224	-
chr1	40220127	40220627	intergenic_bi_85	+
chr1	40221097	40221597	intergenic_bi_86	+
chr1	40228755	40229255	intergenic_bi_87	+
chr1	40232252	40232752	intergenic_bi_88	+
chr1	40232576	40233076	intergenic_bi_89	+
chr1	40235954	40236454	intergenic_si_229	-
chr1	40236296	40236796	intergenic_bi_90	+
chr1	40278612	40279112	intergenic_bi_91	+
chr1	40279481	40279981	intergenic_si_233	+
chr1	40284537	40285037	intragenic_si_76	-
chr1	40286276	40286776	intragenic_si_77	-
chr1	40286560	40287060	intragenic_bi_78	-
chr1	40300370	40300870	intragenic_si_78	-
chr1	43152030	43152530	intragenic_si_80	+
chr1	45917150	45917650	intergenic_bi_100	+
chr1	45922326	45922826	intergenic_bi_101	+
chr1	45925318	45925818	intergenic_si_253	-
chr1	45960853	45961353	intergenic_bi_102	+
chr1	45977506	45978006	intragenic_si_91	+
chr1	45980031	45980531	intragenic_bi_87	+
chr1	45984683	45985183	intergenic_si_259	-
chr1	51347683	51348183	intragenic_si_93	-
chr1	51536453	51536953	intergenic_si_267	+
chr1	51565915	51566415	intragenic_bi_89	+
chr1	51777022	51777522	intergenic_bi_109	+
chr1	51797618	51798118	intergenic_si_273	+
chr1	51799244	51799744	intergenic_si_274	-
chr1	51816440	51816940	intragenic_si_95	+
chr1	51826841	51827341	intragenic_si_96	+
chr1	51912677	51913177	intragenic_si_97	+
chr1	51913223	51913723	intragenic_si_98	+
chr1	51939511	51940011	intragenic_si_99	+
chr1	51948134	51948634	intragenic_si_100	+
chr1	51948777	51949277	intragenic_si_101	+
chr1	51950714	51951214	intragenic_si_102	+
chr1	51951451	51951951	intragenic_si_103	+
chr1	51979589	51980089	intergenic_bi_110	+
chr1	52170432	52170932	intergenic_si_276	-
chr1	53348016	53348516	intragenic_bi_92	+
chr1	55085620	55086120	intergenic_bi_117	+
chr1	55228070	55228570	intragenic_bi_104	+
chr1	55230479	55230979	intragenic_bi_105	+
chr1	56596843	56597343	intergenic_si_304	-
chr1	57448172	57448672	intragenic_bi_108	+
chr1	57493081	57493581	intergenic_bi_121	+
chr1	58087988	58088488	intragenic_si_118	-
chr1	58128146	58128646	intragenic_si_119	-
chr1	58158305	58158805	intragenic_si_120	-
chr1	58171775	58172275	intragenic_si_122	-
chr1	58201106	58201606	intragenic_si_123	-
chr1	58410294	58410794	intragenic_bi_111	-
chr1	58446070	58446570	intergenic_si_318	-
chr1	58447774	58448274	intergenic_si_319	-
chr1	58661544	58662044	intergenic_bi_129	+
chr1	58670833	58671333	intergenic_si_326	-
chr1	58671219	58671719	intergenic_bi_130	+
chr1	58771448	58771948	intragenic_bi_119	-
chr1	58783850	58784350	intragenic_si_127	-
chr1	59231254	59231754	intragenic_si_132	+
chr1	59268965	59269465	intragenic_bi_124	+
chr1	59378337	59378837	intragenic_bi_126	-
chr1	59378553	59379053	intragenic_bi_127	-
chr1	59379350	59379850	intragenic_si_133	-
chr1	59424977	59425477	intergenic_si_339	-
chr1	59439774	59440274	intergenic_si_340	+
chr1	59442444	59442944	intergenic_si_341	+
chr1	59442905	59443405	intergenic_si_342	-
chr1	59444616	59445116	intergenic_bi_134	+
chr1	59445137	59445637	intergenic_si_344	-
chr1	59445522	59446022	intergenic_si_345	-
chr1	59445940	59446440	intergenic_bi_135	+
chr1	59480459	59480959	intergenic_bi_136	+
chr1	59493130	59493630	intergenic_bi_137	+
chr1	59495873	59496373	intergenic_si_348	+
chr1	59542732	59543232	intragenic_bi_128	-
chr1	59544133	59544633	intragenic_bi_129	-
chr1	59544729	59545229	intragenic_si_134	-
chr1	59554992	59555492	intergenic_bi_139	+
chr1	59560411	59560911	intergenic_bi_140	+
chr1	60401471	60401971	intragenic_si_136	-
chr1	60621787	60622287	intragenic_bi_133	+
chr1	60621973	60622473	intragenic_bi_134	+
chr1	60628419	60628919	intergenic_bi_148	+
chr1	60652984	60653484	intergenic_bi_149	+
chr1	60653158	60653658	intergenic_bi_150	+
chr1	60655720	60656220	intergenic_bi_151	+
chr1	60655904	60656404	intergenic_bi_152	+
chr1	60656103	60656603	intergenic_bi_153	+
chr1	60695052	60695552	intergenic_si_382	-
chr1	60697936	60698436	intergenic_si_383	+
chr1	60698115	60698615	intergenic_bi_154	+
chr1	60699018	60699518	intergenic_si_384	-
chr1	60715114	60715614	intergenic_si_385	+
chr1	60715853	60716353	intergenic_si_386	-
chr1	60716464	60716964	intergenic_bi_155	+
chr1	60718780	60719280	intergenic_si_387	-
chr1	60719104	60719604	intergenic_bi_156	+
chr1	60724692	60725192	intergenic_bi_157	+
chr1	60724852	60725352	intergenic_bi_158	+
chr1	60725439	60725939	intergenic_bi_159	+
chr1	60725799	60726299	intergenic_bi_160	+
chr1	60883756	60884256	intergenic_si_390	+
chr1	60919789	60920289	intergenic_si_391	+
chr1	62752567	62753067	intragenic_bi_136	-
chr1	62753332	62753832	intragenic_bi_137	-
chr1	62771006	62771506	intragenic_si_150	-
chr1	62771199	62771699	intragenic_bi_138	-
chr1	62771387	62771887	intragenic_si_151	-
chr1	62856131	62856631	intragenic_bi_139	-
chr1	62856295	62856795	intragenic_bi_140	-
chr1	63162286	63162786	intragenic_si_156	-
chr1	63170414	63170914	intragenic_bi_144	-
chr1	64165014	64165514	intragenic_si_158	+
chr1	64166205	64166705	intragenic_si_159	+
chr1	64349389	64349889	intergenic_bi_163	+
chr1	64351876	64352376	intergenic_bi_164	+
chr1	64352014	64352514	intergenic_bi_165	+
chr1	64789196	64789696	intergenic_si_410	+
chr1	64799513	64800013	intergenic_si_411	+
chr1	64800258	64800758	intergenic_si_412	-
chr1	64801245	64801745	intergenic_si_413	-
chr1	65158507	65159007	intragenic_si_162	+
chr1	65159280	65159780	intragenic_bi_149	+
chr1	65165004	65165504	intragenic_bi_150	+
chr1	65223305	65223805	intragenic_si_164	+
chr1	66862434	66862934	intragenic_bi_155	+
chr1	67107968	67108468	intergenic_bi_173	+
chr1	67113800	67114300	intergenic_bi_174	+
chr1	67124283	67124783	intergenic_bi_175	+
chr1	67125195	67125695	intergenic_bi_176	+
chr1	67138819	67139319	intergenic_bi_177	+
chr1	67145287	67145787	intergenic_si_428	-
chr1	67148575	67149075	intergenic_bi_178	+
chr1	67148972	67149472	intergenic_si_429	+
chr1	67149801	67150301	intergenic_bi_179	+
chr1	67149921	67150421	intergenic_bi_180	+
chr1	67150476	67150976	intergenic_si_431	-
chr1	67160112	67160612	intergenic_si_432	+
chr1	67162064	67162564	intergenic_bi_181	+
chr1	67162243	67162743	intergenic_si_434	-
chr1	67163074	67163574	intergenic_bi_182	+
chr1	67163792	67164292	intergenic_si_435	+
chr1	67164297	67164797	intergenic_bi_183	+
chr1	67168014	67168514	intergenic_si_436	+
chr1	67171883	67172383	intragenic_bi_162	-
chr1	67174217	67174717	intragenic_si_176	-
chr1	67174731	67175231	intragenic_si_177	-
chr1	69152509	69153009	intragenic_bi_163	+
chr1	69733647	69734147	intergenic_si_439	-
chr1	69733789	69734289	intergenic_bi_186	+
chr1	71680975	71681475	intragenic_si_178	+
chr1	71693797	71694297	intragenic_si_179	+
chr1	71697146	71697646	intragenic_bi_166	+
chr1	71770325	71770825	intergenic_bi_189	+
chr1	71777172	71777672	intergenic_si_448	+
chr1	71778130	71778630	intergenic_bi_190	+
chr1	71884498	71884998	intergenic_si_450	-
chr1	71945653	71946153	intergenic_bi_192	+
chr1	71958939	71959439	intergenic_bi_193	+
chr1	71984207	71984707	intergenic_bi_194	+
chr1	71984436	71984936	intergenic_bi_195	+
chr1	71984829	71985329	intergenic_si_456	-
chr1	72059265	72059765	intergenic_si_457	-
chr1	72078918	72079418	intergenic_si_458	+
chr1	72219841	72220341	intragenic_bi_169	+
chr1	72220220	72220720	intragenic_si_182	+
chr1	72223847	72224347	intragenic_si_183	+
chr1	72226432	72226932	intragenic_bi_170	+
chr1	72272511	72273011	intergenic_bi_196	+
chr1	72272663	72273163	intergenic_si_462	+
chr1	72324184	72324684	intragenic_bi_174	+
chr1	72324558	72325058	intragenic_bi_175	+
chr1	72334430	72334930	intragenic_bi_177	-
chr1	72335025	72335525	intragenic_bi_178	-
chr1	72762188	72762688	intergenic_si_466	+
chr1	72762750	72763250	intergenic_si_467	+
chr1	72763399	72763899	intergenic_si_468	+
chr1	72764489	72764989	intergenic_si_469	+
chr1	72768424	72768924	intergenic_si_470	+
chr1	72819218	72819718	intergenic_bi_198	+
chr1	72819520	72820020	intergenic_bi_199	+
chr1	72819763	72820263	intergenic_bi_200	+
chr1	72837130	72837630	intergenic_bi_201	+
chr1	72838278	72838778	intergenic_si_473	-
chr1	72838470	72838970	intergenic_bi_202	+
chr1	72852496	72852996	intergenic_bi_203	+
chr1	72855837	72856337	intergenic_bi_204	+
chr1	72856518	72857018	intergenic_si_475	-
chr1	72856647	72857147	intergenic_si_476	+
chr1	72889146	72889646	intragenic_bi_181	-
chr1	72916721	72917221	intragenic_bi_182	+
chr1	72917157	72917657	intragenic_bi_183	+
chr1	73975742	73976242	intragenic_bi_184	+
chr1	73979149	73979649	intragenic_si_184	+
chr1	74046733	74047233	intragenic_si_185	+
chr1	74054892	74055392	intragenic_si_186	+
chr1	74055478	74055978	intragenic_si_187	+
chr1	74059745	74060245	intragenic_bi_185	+
chr1	74061057	74061557	intragenic_si_189	+
chr1	74061286	74061786	intragenic_si_190	+
chr1	74073970	74074470	intragenic_si_191	+
chr1	74081121	74081621	intragenic_si_192	+
chr1	74090209	74090709	intragenic_si_193	+
chr1	74090936	74091436	intragenic_si_194	+
chr1	74104858	74105358	intragenic_si_195	+
chr1	74106097	74106597	intragenic_bi_186	+
chr1	74112565	74113065	intragenic_si_197	+
chr1	74114260	74114760	intragenic_si_198	+
chr1	74115412	74115912	intragenic_bi_187	+
chr1	74115939	74116439	intragenic_bi_188	+
chr1	74116679	74117179	intragenic_si_200	+
chr1	74243114	74243614	intergenic_bi_207	+
chr1	74273924	74274424	intergenic_si_479	-
chr1	74276527	74277027	intergenic_si_480	-
chr1	74277384	74277884	intergenic_bi_208	+
chr1	74295832	74296332	intragenic_bi_189	-
chr1	74341985	74342485	intragenic_bi_190	-
chr1	74346016	74346516	intragenic_bi_191	-
chr1	74381245	74381745	intragenic_si_202	-
chr1	74381979	74382479	intragenic_bi_194	-
chr1	74386803	74387303	intragenic_bi_195	-
chr1	74390085	74390585	intragenic_si_204	-
chr1	74433266	74433766	intragenic_bi_197	-
chr1	74433469	74433969	intragenic_bi_198	-
chr1	74435670	74436170	intergenic_si_483	-
chr1	74442876	74443376	intragenic_bi_200	-
chr1	74443389	74443889	intragenic_bi_201	-
chr1	74444376	74444876	intragenic_si_206	-
chr1	74444748	74445248	intragenic_si_207	-
chr1	74446969	74447469	intergenic_bi_212	+
chr1	74450650	74451150	intergenic_si_487	+
chr1	74450842	74451342	intergenic_bi_213	+
chr1	74762428	74762928	intragenic_si_210	-
chr1	74765768	74766268	intragenic_si_211	-
chr1	74768158	74768658	intragenic_si_212	-
chr1	74797213	74797713	intergenic_si_490	+
chr1	74863259	74863759	intergenic_bi_217	+
chr1	74996197	74996697	intragenic_bi_204	+
chr1	75008149	75008649	intergenic_si_492	+
chr1	75009092	75009592	intergenic_bi_218	+
chr1	75060929	75061429	intragenic_si_214	+
chr1	75144286	75144786	intragenic_bi_209	-
chr1	75145245	75145745	intragenic_bi_210	-
chr1	75146278	75146778	intergenic_si_493	+
chr1	75209036	75209536	intragenic_bi_217	-
chr1	75230813	75231313	intergenic_bi_220	+
chr1	75657243	75657743	intergenic_si_497	+
chr1	78564704	78565204	intragenic_si_220	-
chr1	78646231	78646731	intergenic_si_498	-
chr1	82028941	82029441	intergenic_si_512	-
chr1	82180566	82181066	intergenic_si_513	+
chr1	82181029	82181529	intergenic_si_514	+
chr1	82185386	82185886	intergenic_si_515	-
chr1	82231100	82231600	intragenic_si_222	+
chr1	82234893	82235393	intragenic_si_223	+
chr1	82279720	82280220	intragenic_bi_227	+
chr1	82280147	82280647	intragenic_si_224	+
chr1	82280422	82280922	intragenic_bi_228	+
chr1	82280971	82281471	intragenic_bi_229	+
chr1	82282513	82283013	intragenic_si_227	+
chr1	82286120	82286620	intragenic_si_228	+
chr1	84237716	84238216	intragenic_si_230	+
chr1	84275168	84275668	intragenic_bi_234	+
chr1	84275517	84276017	intragenic_si_231	+
chr1	84276675	84277175	intragenic_bi_235	+
chr1	84279503	84280003	intragenic_si_232	+
chr1	84396283	84396783	intragenic_si_233	+
chr1	84868662	84869162	intragenic_si_234	-
chr1	84874176	84874676	intragenic_si_235	-
chr1	87932905	87933405	intergenic_si_536	-
chr1	87934258	87934758	intergenic_si_537	-
chr1	87935069	87935569	intergenic_bi_225	+
chr1	87935617	87936117	intergenic_bi_226	+
chr1	87935779	87936279	intergenic_bi_227	+
chr1	87935923	87936423	intergenic_bi_228	+
chr1	87936637	87937137	intergenic_bi_229	+
chr1	87937537	87938037	intergenic_bi_230	+
chr1	87943689	87944189	intragenic_bi_241	-
chr1	87949714	87950214	intragenic_si_240	-
chr1	87952686	87953186	intragenic_bi_242	-
chr1	87953825	87954325	intragenic_si_242	-
chr1	87955356	87955856	intergenic_bi_232	+
chr1	87955520	87956020	intergenic_bi_233	+
chr1	87955767	87956267	intergenic_bi_234	+
chr1	87959190	87959690	intergenic_si_542	+
chr1	88072504	88073004	intragenic_bi_243	-
chr1	88303412	88303912	intergenic_si_547	+
chr1	88330205	88330705	intergenic_si_548	+
chr1	88330424	88330924	intergenic_bi_237	+
chr1	88330726	88331226	intergenic_bi_238	+
chr1	88330859	88331359	intergenic_bi_239	+
chr1	88337004	88337504	intergenic_si_551	+
chr1	88337864	88338364	intergenic_bi_240	+
chr1	88338436	88338936	intergenic_bi_241	+
chr1	88338957	88339457	intergenic_bi_242	+
chr1	88366995	88367495	intergenic_si_555	+
chr1	88367402	88367902	intergenic_bi_243	+
chr1	88368684	88369184	intergenic_bi_244	+
chr1	88369238	88369738	intergenic_si_558	-
chr1	88383907	88384407	intergenic_bi_245	+
chr1	88384931	88385431	intergenic_bi_246	+
chr1	88387238	88387738	intergenic_bi_247	+
chr1	88388123	88388623	intergenic_si_561	+
chr1	88388541	88389041	intergenic_si_562	-
chr1	88394475	88394975	intergenic_bi_248	+
chr1	88400503	88401003	intergenic_bi_249	+
chr1	88418897	88419397	intergenic_si_564	+
chr1	88424681	88425181	intragenic_si_244	-
chr1	88425132	88425632	intragenic_si_245	-
chr1	88482102	88482602	intergenic_si_568	+
chr1	88491823	88492323	intragenic_si_247	-
chr1	88492872	88493372	intragenic_si_248	-
chr1	88529946	88530446	intergenic_bi_253	+
chr1	88920007	88920507	intragenic_bi_246	-
chr1	89190613	89191113	intragenic_si_249	-
chr1	89190920	89191420	intragenic_bi_248	-
chr1	89694761	89695261	intergenic_si_584	+
chr1	89695770	89696270	intergenic_si_585	+
chr1	89789047	89789547	intragenic_si_251	-
chr1	89797499	89797999	intragenic_bi_252	-
chr1	89909746	89910246	intergenic_si_587	-
chr1	89910243	89910743	intergenic_bi_260	+
chr1	89910850	89911350	intergenic_si_589	-
chr1	89911105	89911605	intergenic_bi_261	+
chr1	89921395	89921895	intergenic_bi_262	+
chr1	89968979	89969479	intragenic_si_253	-
chr1	89970929	89971429	intragenic_si_254	-
chr1	89971299	89971799	intragenic_bi_256	-
chr1	90001503	90002003	intragenic_bi_258	-
chr1	90001647	90002147	intragenic_si_256	-
chr1	90002162	90002662	intragenic_bi_259	-
chr1	90002477	90002977	intragenic_bi_260	-
chr1	90109641	90110141	intragenic_si_258	-
chr1	90110141	90110641	intragenic_si_259	-
chr1	90121851	90122351	intergenic_si_593	+
chr1	90150049	90150549	intragenic_bi_262	-
chr1	90175637	90176137	intergenic_bi_265	+
chr1	90180635	90181135	intergenic_si_597	+
chr1	90182168	90182668	intergenic_bi_266	+
chr1	90182463	90182963	intergenic_si_598	+
chr1	90183957	90184457	intergenic_si_599	-
chr1	90184604	90185104	intergenic_bi_267	+
chr1	90315496	90315996	intragenic_si_261	-
chr1	90472391	90472891	intergenic_si_603	-
chr1	90922615	90923115	intergenic_si_604	-
chr1	91353086	91353586	intragenic_bi_265	-
chr1	91451758	91452258	intragenic_si_263	-
chr1	91453954	91454454	intragenic_si_264	-
chr1	91567138	91567638	intragenic_bi_266	-
chr1	91610659	91611159	intragenic_si_265	-
chr1	92131109	92131609	intergenic_bi_272	+
chr1	92953887	92954387	intragenic_bi_271	-
chr1	92954774	92955274	intragenic_si_267	-
chr1	92998197	92998697	intragenic_bi_272	-
chr1	92999082	92999582	intragenic_si_268	-
chr1	92999890	93000390	intragenic_bi_273	-
chr1	93196276	93196776	intragenic_si_272	-
chr1	93196561	93197061	intragenic_bi_274	-
chr1	93197796	93198296	intragenic_si_274	-
chr1	93317193	93317693	intragenic_si_276	+
chr1	93333015	93333515	intragenic_si_277	+
chr1	93336611	93337111	intragenic_si_278	+
chr1	93339181	93339681	intragenic_bi_275	+
chr1	93339544	93340044	intragenic_si_280	+
chr1	93342561	93343061	intragenic_bi_276	+
chr1	93352363	93352863	intragenic_si_281	+
chr1	93353008	93353508	intragenic_bi_277	+
chr1	93353525	93354025	intragenic_si_282	+
chr1	93354157	93354657	intragenic_si_283	+
chr1	93359883	93360383	intergenic_bi_278	+
chr1	93361946	93362446	intergenic_si_615	-
chr1	93426763	93427263	intragenic_si_284	-
chr1	93720107	93720607	intragenic_si_285	-
chr1	93779643	93780143	intergenic_si_616	+
chr1	93790165	93790665	intergenic_bi_279	+
chr1	93790490	93790990	intergenic_bi_280	+
chr1	93790807	93791307	intergenic_si_617	+
chr1	93800080	93800580	intergenic_bi_281	+
chr1	94808595	94809095	intragenic_bi_284	-
chr1	95024734	95025234	intergenic_bi_287	+
chr1	95029176	95029676	intergenic_bi_288	+
chr1	95034936	95035436	intragenic_bi_288	-
chr1	95035074	95035574	intragenic_si_287	-
chr1	95344345	95344845	intragenic_si_289	+
chr1	95460255	95460755	intragenic_si_291	-
chr1	95463570	95464070	intragenic_bi_294	-
chr1	95564219	95564719	intergenic_si_633	+
chr1	95583474	95583974	intragenic_si_295	-
chr1	95584424	95584924	intragenic_si_296	-
chr1	95589964	95590464	intragenic_bi_295	-
chr1	95590581	95591081	intragenic_si_297	-
chr1	99664049	99664549	intragenic_si_300	+
chr1	107011304	107011804	intergenic_bi_301	+
chr1	107011834	107012334	intergenic_si_644	+
chr1	107075286	107075786	intergenic_bi_302	+
chr1	107075643	107076143	intergenic_si_645	+
chr1	107796937	107797437	intergenic_si_650	+
chr1	107797449	107797949	intergenic_bi_304	+
chr1	107802594	107803094	intergenic_bi_305	+
chr1	107802960	107803460	intergenic_bi_306	+
chr1	107804934	107805434	intergenic_bi_307	+
chr1	107805073	107805573	intergenic_bi_308	+
chr1	107821748	107822248	intergenic_si_653	-
chr1	107822186	107822686	intergenic_bi_309	+
chr1	107868224	107868724	intergenic_bi_310	+
chr1	107868409	107868909	intergenic_bi_311	+
chr1	107868516	107869016	intergenic_si_655	-
chr1	107869737	107870237	intergenic_si_656	-
chr1	107874250	107874750	intergenic_bi_312	+
chr1	107877326	107877826	intergenic_si_658	+
chr1	107877951	107878451	intergenic_si_659	-
chr1	107885130	107885630	intergenic_si_660	+
chr1	107888660	107889160	intragenic_si_304	-
chr1	107889717	107890217	intragenic_bi_311	-
chr1	107890406	107890906	intragenic_si_305	-
chr1	108051728	108052228	intergenic_si_665	+
chr1	108069836	108070336	intragenic_si_307	-
chr1	108074062	108074562	intragenic_bi_313	-
chr1	108089717	108090217	intragenic_si_308	-
chr1	109510636	109511136	intergenic_si_667	-
chr1	120231744	120232244	intragenic_bi_317	-
chr1	120231877	120232377	intragenic_bi_318	-
chr1	120283466	120283966	intergenic_si_674	-
chr1	120510103	120510603	intergenic_bi_319	+
chr1	121388639	121389139	intragenic_si_309	+
chr1	121437698	121438198	intergenic_si_680	-
chr1	121533816	121534316	intragenic_si_312	+
chr1	121960447	121960947	intragenic_bi_328	-
chr1	121997002	121997502	intergenic_bi_323	+
chr1	122012613	122013113	intragenic_si_314	+
chr1	123225900	123226400	intragenic_bi_334	+
chr1	123227195	123227695	intragenic_bi_335	+
chr1	123230631	123231131	intergenic_bi_325	+
chr1	123232312	123232812	intergenic_bi_326	+
chr1	123245292	123245792	intergenic_bi_327	+
chr1	123247099	123247599	intergenic_si_690	-
chr1	127590890	127591390	intragenic_bi_339	-
chr1	129294083	129294583	intragenic_si_322	-
chr1	129294388	129294888	intragenic_bi_340	-
chr1	129294708	129295208	intragenic_bi_341	-
chr1	129627645	129628145	intragenic_bi_342	-
chr1	129628067	129628567	intragenic_si_324	-
chr1	129629063	129629563	intragenic_bi_343	-
chr1	129631836	129632336	intragenic_bi_344	-
chr1	129647209	129647709	intragenic_bi_345	-
chr1	129652265	129652765	intragenic_bi_346	-
chr1	129672830	129673330	intragenic_si_326	-
chr1	129977416	129977916	intragenic_bi_351	+
chr1	130131789	130132289	intragenic_si_329	-
chr1	132269777	132270277	intergenic_si_736	-
chr1	132554533	132555033	intragenic_si_331	+
chr1	132556043	132556543	intragenic_si_332	+
chr1	132575083	132575583	intragenic_bi_358	+
chr1	132575480	132575980	intragenic_si_335	+
chr1	132630248	132630748	intragenic_bi_363	-
chr1	132658094	132658594	intergenic_bi_342	+
chr1	132658450	132658950	intergenic_si_752	+
chr1	132660005	132660505	intergenic_si_753	-
