0	9	5	1	19	8	1	14	0	16	0	4	9	1	8	10
1	1	22	5	0	11	1	10	1	2	2	6	3	6	0	1
2	0	7	2	14	1	13	3	1	20	8	2	22	6	0	4
0	1	10	2	0	3	1	1	0	1	0	0	1	5	7	7
7	4	0	11	11	16	10	1	1	12	8	0	14	0	4	3
1	8	0	21	10	0	11	7	11	0	6	1	1	4	0	11
15	5	0	3	0	5	3	17	7	1	20	8	6	11	2	19
8	3	3	6	8	2	7	1	2	13	3	7	0	4	16	0
13	3	0	5	0	0	4	11	5	20	4	3	1	12	0	0
2	6	10	3	8	3	2	0	8	22	0	14	2	4	1	2
11	1	1	7	0	2	0	2	0	12	8	1	1	5	1	1
2	0	0	8	8	5	0	10	8	5	4	11	6	0	10	8
3	1	0	4	2	2	0	4	6	13	1	4	0	0	1	4
13	17	5	0	7	0	9	1	10	0	0	3	14	4	15	0
4	0	10	2	4	0	1	2	1	0	1	15	7	6	8	1
8	1	2	21	15	10	0	0	1	1	12	4	2	1	1	11
0	10	1	0	6	2	0	2	6	4	6	0	0	0	21	3
0	2	1	11	0	9	10	0	1	0	2	36	20	14	0	1
0	0	2	2	4	0	2	0	21	5	17	9	0	1	3	1
1	7	0	1	5	5	2	21	2	2	11	8	15	3	0	12
1	1	2	0	10	4	10	0	26	0	13	7	7	1	10	1
3	0	16	4	1	6	1	2	1	0	11	0	2	15	12	22
0	1	8	0	5	4	14	1	6	3	3	11	1	3	0	8
1	2	1	7	14	3	7	1	19	9	0	4	7	3	12	1
4	0	8	10	5	9	2	1	0	19	0	3	0	1	0	1
1	4	0	12	8	0	1	7	0	6	2	2	1	26	1	6
0	20	21	11	10	5	0	2	5	3	1	17	0	11	3	1
1	0	0	0	1	0	3	6	4	18	15	11	19	22	0	5
0	0	7	2	5	11	2	6	0	4	6	8	0	5	6	0
14	0	11	2	0	1	1	2	5	10	12	9	11	1	7	17
0	3	2	9	12	15	0	14	4	1	10	8	0	0	0	9
7	1	2	1	0	0	6	17	1	0	0	0	5	0	4	10
7	9	3	15	17	2	0	1	0	2	0	2	0	2	1	9
17	2	0	7	5	0	5	3	1	6	2	2	5	13	6	10
4	0	5	0	2	5	7	0	0	3	2	20	0	23	11	4
10	7	4	1	6	5	1	0	8	3	1	0	0	0	14	1
11	0	0	0	7	5	0	0	1	20	1	0	0	11	0	15
2	10	1	0	2	4	6	0	8	15	0	9	9	0	5	8
0	8	4	0	1	2	3	21	13	11	1	0	0	0	30	14
7	3	1	2	3	0	0	3	2	1	0	6	11	3	11	0
19	2	0	5	1	4	0	1	2	0	7	4	14	6	7	2
6	0	6	7	22	0	2	0	1	2	0	8	3	3	3	8
2	1	3	7	0	1	0	2	8	4	8	7	16	4	0	3
5	3	16	6	6	5	6	6	5	3	0	7	2	0	1	0
11	15	13	4	0	5	3	0	5	11	2	3	0	0	8	14
2	3	8	3	0	5	0	0	2	1	15	0	0	1	17	15
