53	5	10	18	9	34	4	8	9	34	52	6	44	6	1	11	32	3	54
50	7	3	8	13	64	2	18	13	25	40	3	26	11	19	32	7	6	50
14	43	6	12	9	3	6	11	29	22	1	21	11	6	33	6	44	4	14
6	4	8	33	3	3	17	24	36	63	4	18	19	1	17	27	9	6	4
5	9	18	14	46	77	50	29	18	13	4	15	2	5	8	38	9	25	5
10	39	8	3	2	8	6	6	40	6	4	1	3	9	8	21	31	32	31
67	24	18	15	39	9	4	3	18	19	10	6	21	14	38	5	6	5	15
22	46	29	28	10	4	8	39	5	18	137	11	55	9	9	8	16	8	22
15	13	4	27	17	27	58	11	6	1	17	6	8	16	3	93	2	53	22
14	27	30	10	18	6	54	1	8	38	32	12	6	27	27	6	5	32	20
15	6	39	17	2	6	2	8	20	19	9	56	15	9	24	18	25	4	15
6	2	2	1	8	12	24	53	14	2	12	21	4	2	46	26	46	16	8
37	15	10	34	12	8	4	22	11	59	3	20	69	64	26	27	36	10	37
6	7	3	32	23	25	55	4	9	45	17	6	46	5	6	37	10	2	11
17	22	2	33	22	52	76	1	16	18	29	8	11	6	3	38	36	17	22
14	4	34	6	12	6	6	1	1	1	18	17	2	17	13	46	34	18	14
46	22	3	10	10	52	11	6	2	66	17	27	6	7	3	13	22	22	16
12	2	2	11	3	1	27	23	25	5	6	11	37	19	34	56	17	12	2
21	59	18	40	4	58	15	16	4	8	14	11	1	21	24	6	67	33	46
30	18	29	53	46	12	2	21	4	4	3	5	15	9	17	14	26	35	6
15	4	50	46	15	23	19	18	17	28	29	28	16	47	35	24	59	2	11
11	6	12	4	3	1	9	12	84	9	11	12	46	23	23	63	11	6	11
7	5	38	28	6	9	24	2	6	1	25	45	2	59	28	33	2	19	4
52	7	20	28	5	4	3	8	51	72	12	3	19	5	1	4	3	34	52
11	4	15	4	11	2	70	11	37	11	21	1	9	15	27	1	11	17	11
39	23	16	21	2	38	23	12	7	69	6	5	7	19	6	29	8	68	39
9	5	35	19	33	8	6	8	23	7	2	7	8	19	5	13	46	1	16
15	37	4	26	27	27	3	12	31	6	71	4	111	26	13	27	16	26	15
50	93	6	6	14	11	25	32	5	6	15	30	3	15	1	7	6	8	5
7	5	46	38	4	5	17	60	2	17	12	11	5	41	23	18	8	7	5
15	11	21	7	3	40	47	12	10	27	31	4	40	16	18	2	26	18	15
6	38	18	7	11	5	12	1	137	22	9	3	5	6	21	10	27	4	6
22	4	5	39	30	13	76	9	23	27	51	30	3	58	6	22	4	5	39
4	21	2	3	46	40	17	3	10	5	109	2	30	19	4	7	20	25	32
22	26	7	3	28	17	12	25	45	36	31	33	2	18	15	12	2	13	4
8	41	3	32	16	24	9	54	3	5	23	21	23	12	21	29	149	8	41
27	1	12	23	16	2	8	24	7	6	1	12	30	3	24	22	13	27	1
26	53	14	9	1	9	21	19	7	21	77	8	16	3	7	14	10	26	53
30	4	3	12	32	17	41	8	27	14	16	4	2	4	27	18	22	33	38
12	14	16	14	18	16	36	3	38	2	40	14	5	2	54	18	9	24	9
30	17	24	14	33	2	5	10	27	7	8	26	35	24	46	2	3	1	30
7	33	3	17	1	9	23	40	22	2	12	2	21	9	27	6	7	33	3
4	13	21	11	28	41	3	28	15	1	6	14	10	11	21	18	48	7	1
5	12	21	17	9	46	3	8	23	1	9	21	27	10	11	10	18	42	11
93	13	21	3	11	23	34	6	24	2	1	49	2	10	9	35	27	30	24
16	40	9	12	19	9	47	7	56	7	8	28	5	3	1	9	6	11	16
18	19	7	24	6	6	18	34	1	3	6	52	4	49	5	4	9	12	18
8	7	17	9	61	20	1	40	21	9	16	21	23	26	55	10	15	32	8
11	24	14	17	6	5	34	21	76	40	3	55	5	6	30	2	5	19	25
6	30	2	7	22	4	4	14	6	1	1	1	30	29	4	14	27	5	6
22	6	23	16	109	11	7	12	45	83	3	7	46	5	26	28	17	27	11
11	13	2	57	46	7	77	14	5	6	28	6	7	21	37	45	2	2	11
13	12	11	10	7	3	1	1	53	3	15	5	2	3	10	59	16	39	16
2	30	112	9	8	13	38	30	29	8	6	14	11	2	2	6	15	3	2
23	4	11	38	4	7	18	8	13	26	14	30	4	15	36	33	6	19	23
15	3	23	16	12	2	19	39	49	9	29	8	53	8	12	39	25	44	25
14	2	59	39	8	24	6	13	2	13	8	36	2	6	3	14	59	8	14
6	2	22	12	26	12	62	9	3	10	4	17	1	11	39	6	13	28	6
27	4	4	27	7	16	19	55	11	5	41	8	2	2	1	37	21	47	5
7	7	2	2	16	33	2	93	6	4	15	8	3	75	11	38	3	9	29
24	25	11	15	11	19	9	17	6	6	50	27	7	5	46	16	38	23	24
20	10	6	29	45	11	6	13	1	5	34	39	39	2	1	31	12	38	20
2	2	37	46	56	33	47	26	29	3	10	3	2	33	36	31	20	24	52
24	2	13	34	4	1	3	22	2	9	24	23	1	3	24	14	1	24	2
11	7	40	4	4	66	24	18	1	5	35	5	27	3	18	29	21	5	3
21	2	17	10	62	15	22	40	1	13	19	1	11	13	6	23	8	42	21
17	9	11	16	29	6	8	2	3	13	5	8	9	49	5	8	4	25	10
8	12	3	1	24	16	36	19	4	14	11	33	15	3	32	32	1	20	10
83	14	1	22	5	16	35	19	21	5	67	32	10	11	32	21	5	57	2
33	9	7	12	27	3	41	46	12	18	16	28	11	1	40	24	18	12	27
16	18	9	3	5	47	30	46	3	38	6	21	3	5	59	43	15	19	4
