8	15	2	28	18	37	64	1	10	11	26	6	0	10	6	3	0	26	25
14	2	34	1	12	0	2	4	1	1	0	16	17	2	13	12	43	22	18
38	22	2	10	6	30	5	5	0	40	9	14	6	5	2	9	16	17	15
6	2	1	0	5	3	1	24	11	25	5	0	1	6	25	12	14	53	10
21	41	12	29	2	50	7	15	3	8	4	5	1	16	24	3	64	28	38
27	13	17	33	32	8	0	13	4	2	3	5	5	7	9	13	17	25	2
1	3	48	34	13	23	16	10	5	21	17	21	10	40	27	15	33	2	3
10	6	11	4	3	1	8	8	67	5	10	6	42	0	8	20	52	11	5
6	0	28	14	5	7	13	0	4	1	5	25	2	39	17	28	2	11	3
48	6	10	14	3	4	2	5	40	58	8	3	12	0	4	1	1	2	24
2	3	11	2	9	1	50	5	0	25	3	16	0	5	7	19	1	4	13
28	10	9	13	0	1	30	10	8	7	54	6	4	6	11	5	26	4	53
7	3	25	19	25	2	4	6	16	3	2	7	7	11	4	10	41	0	6
7	27	4	15	17	17	2	12	18	3	56	3	94	13	10	0	16	10	22
36	89	3	6	8	8	19	27	3	4	4	27	1	14	1	5	5	2	1
1	0	4	29	26	4	3	13	41	2	16	11	4	4	22	0	17	12	8
9	10	8	3	1	34	25	8	9	17	25	0	4	33	9	12	0	22	12
4	28	12	6	9	4	11	1	107	18	5	3	2	3	17	0	9	19	4
16	1	5	35	0	24	0	10	61	0	8	20	0	27	35	24	2	50	4
3	13	2	3	35	26	10	3	6	4	87	2	22	13	2	0	10	17	26
19	20	5	2	16	12	6	25	25	28	25	21	1	10	7	11	2	12	1
1	29	3	27	14	0	0	11	4	47	2	5	14	17	16	8	16	17	132
16	1	0	10	17	15	0	3	11	5	0	5	1	11	22	2	13	17	8
22	33	0	14	6	1	5	16	12	5	13	64	7	10	0	7	0	14	6
20	4	2	8	23	12	26	4	27	14	9	4	0	2	23	13	18	23	38
7	5	15	8	10	15	24	0	25	1	33	9	5	2	47	13	5	18	6
25	14	13	8	28	2	5	0	6	23	5	2	15	15	15	42	2	3	1
1	23	2	0	13	0	0	7	13	34	22	0	2	12	1	19	8	17	4
3	5	6	4	23	33	2	14	13	1	6	8	9	9	13	13	28	6	1
1	6	13	14	4	29	3	2	22	1	4	13	19	7	10	10	10	31	5
82	5	13	2	6	21	31	2	15	2	1	20	1	10	7	31	20	14	19
10	34	8	11	11	7	43	1	53	3	0	7	21	4	1	1	6	3	3
16	8	6	15	3	3	12	27	1	3	0	5	30	3	34	3	4	8	7
6	3	17	5	50	10	0	34	17	8	0	11	13	18	15	40	4	11	19
9	24	8	14	4	3	25	16	70	33	1	45	3	6	13	2	4	11	13
0	6	25	2	7	15	2	3	8	3	1	1	1	13	21	2	10	20	4
20	4	17	10	87	6	4	11	25	73	2	7	29	4	22	16	17	14	10
7	10	0	1	36	42	7	64	8	4	4	13	4	0	13	25	32	1	2
4	11	8	7	5	0	0	1	33	1	5	3	1	2	8	42	10	35	10
2	25	94	9	7	13	28	20	21	8	4	14	6	2	2	4	0	5	2
14	3	7	38	2	5	11	5	10	22	14	0	20	3	6	31	21	1	16
14	2	23	10	11	1	12	28	20	9	14	6	29	8	7	27	25	34	20
14	2	39	26	4	13	2	5	0	10	6	25	2	4	3	7	50	0	7
4	2	16	11	22	6	51	2	3	7	0	2	17	0	9	35	3	11	23
12	1	2	19	7	9	12	39	6	4	29	6	1	1	0	25	17	43	4
7	5	2	2	15	25	1	82	4	4	9	8	3	56	10	38	2	5	14
6	14	10	11	8	8	7	12	3	6	46	16	5	4	41	9	22	23	0
10	2	0	4	24	40	6	4	13	1	2	31	27	26	2	1	25	4	25
2	1	22	38	45	28	43	11	19	0	7	3	2	21	27	18	15	19	30
15	1	9	14	2	1	3	16	2	0	7	21	17	1	2	0	13	5	1
10	6	33	3	1	56	13	12	1	2	27	4	16	3	12	17	13	0	3
6	0	17	9	41	13	15	29	1	6	11	0	6	9	3	21	7	38	19
9	2	9	8	24	4	7	2	1	10	4	8	9	33	3	4	4	16	9
4	12	3	1	13	6	28	11	3	4	3	28	14	2	19	26	1	15	7
62	14	1	15	3	11	24	18	19	3	64	20	4	10	19	17	3	47	2
23	7	3	8	22	1	21	35	9	11	10	21	3	1	34	18	12	12	16
11	13	8	1	4	43	24	41	3	22	5	16	2	5	42	29	6	11	3
